[2024-06-09 04:24:08,988][retry.api][WARNING] - Expecting value: line 1 column 1 (char 0), retrying in 2 seconds...
[2024-06-09 04:35:07,501][retry.api][WARNING] - Expecting value: line 1 column 1 (char 0), retrying in 2 seconds...
[2024-06-09 04:41:12,413][retry.api][WARNING] - Expecting value: line 1 column 1 (char 0), retrying in 2 seconds...
[2024-06-09 04:46:38,025][retry.api][WARNING] - Expecting value: line 1 column 1 (char 0), retrying in 2 seconds...
[2024-06-09 04:46:43,441][retry.api][WARNING] - ('Connection aborted.', OSError(22, 'Invalid argument')), retrying in 2 seconds...
[2024-06-09 04:51:48,430][retry.api][WARNING] - Expecting value: line 1 column 1 (char 0), retrying in 2 seconds...
[2024-06-09 04:57:29,740][retry.api][WARNING] - Expecting value: line 1 column 1 (char 0), retrying in 2 seconds...
[2024-06-09 05:03:02,427][retry.api][WARNING] - Expecting value: line 1 column 1 (char 0), retrying in 2 seconds...
[2024-06-09 05:08:35,825][retry.api][WARNING] - Expecting value: line 1 column 1 (char 0), retrying in 2 seconds...
[2024-06-09 05:13:44,978][retry.api][WARNING] - Expecting value: line 1 column 1 (char 0), retrying in 2 seconds...
[2024-06-09 05:22:26,032][retry.api][WARNING] - Expecting value: line 1 column 1 (char 0), retrying in 2 seconds...
