,name,count,correct_count,correct_mean,correct_std,correct_std_error,correct_instruction_following,correct_correct_logprobs_count,correct_correct_logprobs_mean,correct_correct_logprobs_std,correct_correct_logprobs_std_error,correct_correct_logprobs_instruction_following,correct_incorrect_logprobs_count,correct_incorrect_logprobs_mean,correct_incorrect_logprobs_std,correct_incorrect_logprobs_std_error,correct_incorrect_logprobs_instruction_following,n_comparisons,best_count,best_mean,best_std,best_std_error,best_instruction_following,best_correct_logprobs_count,best_correct_logprobs_mean,best_correct_logprobs_std,best_correct_logprobs_std_error,best_correct_logprobs_instruction_following,best_incorrect_logprobs_count,best_incorrect_logprobs_mean,best_incorrect_logprobs_std,best_incorrect_logprobs_std_error,best_incorrect_logprobs_instruction_following,verdict_model_name
0,all,176,176.0,0.7897727272727273,0.4074699578237954,0.030714203714624296,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,command-r-plus
1,all,176,,,,,,,,,,,,,,,,1,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,command-r-plus
2,-1_all,160,160.0,0.85625,0.3508360550171547,0.027736025479058818,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,command-r-plus
3,-1_c_same_model_family,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,command-r-plus
4,-1_c_not_same_model_family,160,160.0,0.85625,0.3508360550171547,0.027736025479058818,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,command-r-plus
5,-1_c_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,command-r-plus
6,-1_c_not_name_drop_flag,160,160.0,0.85625,0.3508360550171547,0.027736025479058818,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,command-r-plus
7,-1_c_name_drop_any_specific_flag,23,23.0,0.782608695652174,0.41247099915239727,0.0860061487037983,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,command-r-plus
8,-1_c_not_name_drop_any_specific_flag,137,137.0,0.8686131386861314,0.3378229624936097,0.028862163495897757,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,command-r-plus
9,-1_c_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,command-r-plus
10,-1_c_same_model_family_not_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,command-r-plus
11,-1_c_not_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,command-r-plus
12,-1_c_not_same_model_family_not_name_drop_flag,160,160.0,0.85625,0.3508360550171547,0.027736025479058818,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,command-r-plus
13,-1_c_same_model_family_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,command-r-plus
14,-1_c_same_model_family_not_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,command-r-plus
15,-1_c_not_same_model_family_name_drop_any_specific_flag,23,23.0,0.782608695652174,0.41247099915239727,0.0860061487037983,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,command-r-plus
