,name,count,correct_count,correct_mean,correct_std,correct_std_error,correct_instruction_following,correct_correct_logprobs_count,correct_correct_logprobs_mean,correct_correct_logprobs_std,correct_correct_logprobs_std_error,correct_correct_logprobs_instruction_following,correct_incorrect_logprobs_count,correct_incorrect_logprobs_mean,correct_incorrect_logprobs_std,correct_incorrect_logprobs_std_error,correct_incorrect_logprobs_instruction_following,n_comparisons,question,question_model_name,best_count,best_mean,best_std,best_std_error,best_instruction_following,best_correct_logprobs_count,best_correct_logprobs_mean,best_correct_logprobs_std,best_correct_logprobs_std_error,best_correct_logprobs_instruction_following,best_incorrect_logprobs_count,best_incorrect_logprobs_mean,best_incorrect_logprobs_std,best_incorrect_logprobs_std_error,best_incorrect_logprobs_instruction_following,verdict_model_name
0,all,11,11.0,0.6363636363636364,0.48104569292083466,0.14504073367590284,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
1,all,11,,,,,,,,,,,,,,,,1,Amaze me by concisely explaining an important but difficult concept,,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,command-r-plus
2,-1_all,10,10.0,0.7,0.45825756949558394,0.14491376746189435,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
3,-1_c_same_model_family,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
4,-1_c_not_same_model_family,10,10.0,0.7,0.45825756949558394,0.14491376746189435,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
5,-1_c_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
6,-1_c_not_name_drop_flag,10,10.0,0.7,0.45825756949558394,0.14491376746189435,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
7,-1_c_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
8,-1_c_not_name_drop_any_specific_flag,10,10.0,0.7,0.45825756949558394,0.14491376746189435,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
9,-1_c_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
10,-1_c_same_model_family_not_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
11,-1_c_not_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
12,-1_c_not_same_model_family_not_name_drop_flag,10,10.0,0.7,0.45825756949558394,0.14491376746189435,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
13,-1_c_same_model_family_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
14,-1_c_same_model_family_not_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
15,-1_c_not_same_model_family_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
16,-1_c_not_same_model_family_not_name_drop_any_specific_flag,10,10.0,0.7,0.45825756949558394,0.14491376746189435,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
17,0_all,1,1.0,0.0,,,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
18,0_c_same_model_family,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
19,0_c_not_same_model_family,1,1.0,0.0,,,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
20,0_c_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
21,0_c_not_name_drop_flag,1,1.0,0.0,,,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
22,0_c_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
23,0_c_not_name_drop_any_specific_flag,1,1.0,0.0,,,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
24,0_c_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
25,0_c_same_model_family_not_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
26,0_c_not_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
27,0_c_not_same_model_family_not_name_drop_flag,1,1.0,0.0,,,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
28,0_c_same_model_family_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,command-r-plus
