,name,count,correct_count,correct_mean,correct_std,correct_std_error,correct_instruction_following,correct_correct_logprobs_count,correct_correct_logprobs_mean,correct_correct_logprobs_std,correct_correct_logprobs_std_error,correct_correct_logprobs_instruction_following,correct_incorrect_logprobs_count,correct_incorrect_logprobs_mean,correct_incorrect_logprobs_std,correct_incorrect_logprobs_std_error,correct_incorrect_logprobs_instruction_following,n_comparisons,best_count,best_mean,best_std,best_std_error,best_instruction_following,best_correct_logprobs_count,best_correct_logprobs_mean,best_correct_logprobs_std,best_correct_logprobs_std_error,best_correct_logprobs_instruction_following,best_incorrect_logprobs_count,best_incorrect_logprobs_mean,best_incorrect_logprobs_std,best_incorrect_logprobs_std_error,best_incorrect_logprobs_instruction_following,verdict_model_name
0,all,176,176.0,0.8465909090909091,0.36038138372498824,0.027164768891929047,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
1,all,176,,,,,,,,,,,,,,,,1,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,claude-3-haiku-20240307
2,-1_all,160,160.0,0.925,0.26339134382131846,0.0208229140611971,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
3,-1_c_same_model_family,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
4,-1_c_not_same_model_family,160,160.0,0.925,0.26339134382131846,0.0208229140611971,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
5,-1_c_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
6,-1_c_not_name_drop_flag,160,160.0,0.925,0.26339134382131846,0.0208229140611971,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
7,-1_c_name_drop_any_specific_flag,21,21.0,0.7619047619047619,0.4259177099999599,0.09294286409033649,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
8,-1_c_not_name_drop_any_specific_flag,139,139.0,0.9496402877697842,0.21868610292907428,0.01854871315792955,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
9,-1_c_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
10,-1_c_same_model_family_not_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
11,-1_c_not_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
12,-1_c_not_same_model_family_not_name_drop_flag,160,160.0,0.925,0.26339134382131846,0.0208229140611971,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
13,-1_c_same_model_family_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
14,-1_c_same_model_family_not_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
15,-1_c_not_same_model_family_name_drop_any_specific_flag,21,21.0,0.7619047619047619,0.4259177099999599,0.09294286409033649,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
16,-1_c_not_same_model_family_not_name_drop_any_specific_flag,139,139.0,0.9496402877697842,0.21868610292907428,0.01854871315792955,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
17,0_all,16,16.0,0.0625,0.24206145913796356,0.06051536478449089,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
18,0_c_same_model_family,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
19,0_c_not_same_model_family,16,16.0,0.0625,0.24206145913796356,0.06051536478449089,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
20,0_c_name_drop_flag,3,3.0,0.3333333333333333,0.4714045207910317,0.2721655269759087,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
21,0_c_not_name_drop_flag,13,13.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
22,0_c_name_drop_any_specific_flag,3,3.0,0.3333333333333333,0.4714045207910317,0.2721655269759087,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
23,0_c_not_name_drop_any_specific_flag,13,13.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
24,0_c_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
25,0_c_same_model_family_not_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
26,0_c_not_same_model_family_name_drop_flag,3,3.0,0.3333333333333333,0.4714045207910317,0.2721655269759087,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
27,0_c_not_same_model_family_not_name_drop_flag,13,13.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
28,0_c_same_model_family_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
29,0_c_same_model_family_not_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
30,0_c_not_same_model_family_name_drop_any_specific_flag,3,3.0,0.3333333333333333,0.4714045207910317,0.2721655269759087,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
31,0_c_not_same_model_family_not_name_drop_any_specific_flag,13,13.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-haiku-20240307
32,all,320,320.0,0.5625,0.49607837082461076,0.02773162398327945,1.0,0.0,,,,0.0,0.0,,,,0.0,2,,,,,,,,,,,,,,,,claude-3-haiku-20240307
33,all,320,,,,,,,,,,,,,,,,2,320.0,0.53125,0.4990224819584785,0.027896204798995506,1.0,0.0,,,,0.0,0.0,,,,0.0,claude-3-haiku-20240307
34,0_all,160,160.0,0.2125,0.40907670429883924,0.03234035308248813,1.0,0.0,,,,0.0,0.0,,,,0.0,2,,,,,,,,,,,,,,,,claude-3-haiku-20240307
35,0_c_same_model_family,32,32.0,0.09375,0.2914805954090255,0.05152697639950359,1.0,0.0,,,,0.0,0.0,,,,0.0,2,,,,,,,,,,,,,,,,claude-3-haiku-20240307
36,0_c_not_same_model_family,128,128.0,0.2421875,0.42840718346422485,0.03786620306707284,1.0,0.0,,,,0.0,0.0,,,,0.0,2,,,,,,,,,,,,,,,,claude-3-haiku-20240307
37,0_c_name_drop_flag,30,30.0,0.6333333333333333,0.4818944098266986,0.087981479532574,1.0,0.0,,,,0.0,0.0,,,,0.0,2,,,,,,,,,,,,,,,,claude-3-haiku-20240307
38,0_c_not_name_drop_flag,130,130.0,0.11538461538461539,0.31948553318915673,0.028020734893613196,1.0,0.0,,,,0.0,0.0,,,,0.0,2,,,,,,,,,,,,,,,,claude-3-haiku-20240307
39,0_c_name_drop_any_specific_flag,38,38.0,0.5263157894736842,0.49930699897395464,0.08099829095409113,1.0,0.0,,,,0.0,0.0,,,,0.0,2,,,,,,,,,,,,,,,,claude-3-haiku-20240307
40,0_c_not_name_drop_any_specific_flag,122,122.0,0.11475409836065574,0.3187249523807144,0.02885600134615417,1.0,0.0,,,,0.0,0.0,,,,0.0,2,,,,,,,,,,,,,,,,claude-3-haiku-20240307
41,0_c_same_model_family_name_drop_flag,6,6.0,0.3333333333333333,0.4714045207910317,0.19245008972987526,1.0,0.0,,,,0.0,0.0,,,,0.0,2,,,,,,,,,,,,,,,,claude-3-haiku-20240307
42,0_c_same_model_family_not_name_drop_flag,26,26.0,0.038461538461538464,0.1923076923076923,0.037714641372727696,1.0,0.0,,,,0.0,0.0,,,,0.0,2,,,,,,,,,,,,,,,,claude-3-haiku-20240307
43,0_c_not_same_model_family_name_drop_flag,24,24.0,0.7083333333333334,0.45452967144315476,0.09278048066588464,1.0,0.0,,,,0.0,0.0,,,,0.0,2,,,,,,,,,,,,,,,,claude-3-haiku-20240307
44,0_c_not_same_model_family_not_name_drop_flag,104,104.0,0.1346153846153846,0.341312295178824,0.033468424102807,1.0,0.0,,,,0.0,0.0,,,,0.0,2,,,,,,,,,,,,,,,,claude-3-haiku-20240307
