,name,count,correct_count,correct_mean,correct_std,correct_std_error,correct_instruction_following,correct_correct_logprobs_count,correct_correct_logprobs_mean,correct_correct_logprobs_std,correct_correct_logprobs_std_error,correct_correct_logprobs_instruction_following,correct_incorrect_logprobs_count,correct_incorrect_logprobs_mean,correct_incorrect_logprobs_std,correct_incorrect_logprobs_std_error,correct_incorrect_logprobs_instruction_following,n_comparisons,question,question_model_name,best_count,best_mean,best_std,best_std_error,best_instruction_following,best_correct_logprobs_count,best_correct_logprobs_mean,best_correct_logprobs_std,best_correct_logprobs_std_error,best_correct_logprobs_instruction_following,best_incorrect_logprobs_count,best_incorrect_logprobs_mean,best_incorrect_logprobs_std,best_incorrect_logprobs_std_error,best_incorrect_logprobs_instruction_following,verdict_model_name
0,all,11,11.0,0.9090909090909091,0.28747978728803447,0.08667841720414475,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
1,all,11,,,,,,,,,,,,,,,,1,Amaze me by concisely explaining an important but difficult concept,,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,claude-3-haiku-20240307
2,-1_all,10,10.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
3,-1_c_same_model_family,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
4,-1_c_not_same_model_family,10,10.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
5,-1_c_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
6,-1_c_not_name_drop_flag,10,10.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
7,-1_c_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
8,-1_c_not_name_drop_any_specific_flag,10,10.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
9,-1_c_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
10,-1_c_same_model_family_not_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
11,-1_c_not_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
12,-1_c_not_same_model_family_not_name_drop_flag,10,10.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
13,-1_c_same_model_family_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
14,-1_c_same_model_family_not_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
15,-1_c_not_same_model_family_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
16,-1_c_not_same_model_family_not_name_drop_any_specific_flag,10,10.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
17,0_all,1,1.0,0.0,,,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
18,0_c_same_model_family,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
19,0_c_not_same_model_family,1,1.0,0.0,,,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
20,0_c_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
21,0_c_not_name_drop_flag,1,1.0,0.0,,,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
22,0_c_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
23,0_c_not_name_drop_any_specific_flag,1,1.0,0.0,,,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
24,0_c_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
25,0_c_same_model_family_not_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
26,0_c_not_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
27,0_c_not_same_model_family_not_name_drop_flag,1,1.0,0.0,,,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
28,0_c_same_model_family_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
29,0_c_same_model_family_not_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
30,0_c_not_same_model_family_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
31,0_c_not_same_model_family_not_name_drop_any_specific_flag,1,1.0,0.0,,,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,claude-3-haiku-20240307
32,all,11,11.0,0.8181818181818182,0.385694607919935,0.11629129983033296,1.0,0.0,,,,0.0,0.0,,,,0.0,1,"As a teacher, what is the appropriate action to take when a student who recently lost their father misses a paper deadline due to the circumstances?",,,,,,,,,,,,,,,,,claude-3-haiku-20240307
33,all,11,,,,,,,,,,,,,,,,1,"As a teacher, what is the appropriate action to take when a student who recently lost their father misses a paper deadline due to the circumstances?",,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,claude-3-haiku-20240307
34,-1_all,10,10.0,0.9,0.30000000000000004,0.09486832980505139,1.0,0.0,,,,0.0,0.0,,,,0.0,1,"As a teacher, what is the appropriate action to take when a student who recently lost their father misses a paper deadline due to the circumstances?",,,,,,,,,,,,,,,,,claude-3-haiku-20240307
35,-1_c_same_model_family,0,0.0,,,,,0.0,,,,,0.0,,,,,1,"As a teacher, what is the appropriate action to take when a student who recently lost their father misses a paper deadline due to the circumstances?",,,,,,,,,,,,,,,,,claude-3-haiku-20240307
36,-1_c_not_same_model_family,10,10.0,0.9,0.30000000000000004,0.09486832980505139,1.0,0.0,,,,0.0,0.0,,,,0.0,1,"As a teacher, what is the appropriate action to take when a student who recently lost their father misses a paper deadline due to the circumstances?",,,,,,,,,,,,,,,,,claude-3-haiku-20240307
37,-1_c_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,"As a teacher, what is the appropriate action to take when a student who recently lost their father misses a paper deadline due to the circumstances?",,,,,,,,,,,,,,,,,claude-3-haiku-20240307
38,-1_c_not_name_drop_flag,10,10.0,0.9,0.30000000000000004,0.09486832980505139,1.0,0.0,,,,0.0,0.0,,,,0.0,1,"As a teacher, what is the appropriate action to take when a student who recently lost their father misses a paper deadline due to the circumstances?",,,,,,,,,,,,,,,,,claude-3-haiku-20240307
39,-1_c_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,"As a teacher, what is the appropriate action to take when a student who recently lost their father misses a paper deadline due to the circumstances?",,,,,,,,,,,,,,,,,claude-3-haiku-20240307
40,-1_c_not_name_drop_any_specific_flag,10,10.0,0.9,0.30000000000000004,0.09486832980505139,1.0,0.0,,,,0.0,0.0,,,,0.0,1,"As a teacher, what is the appropriate action to take when a student who recently lost their father misses a paper deadline due to the circumstances?",,,,,,,,,,,,,,,,,claude-3-haiku-20240307
41,-1_c_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,"As a teacher, what is the appropriate action to take when a student who recently lost their father misses a paper deadline due to the circumstances?",,,,,,,,,,,,,,,,,claude-3-haiku-20240307
42,-1_c_same_model_family_not_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,"As a teacher, what is the appropriate action to take when a student who recently lost their father misses a paper deadline due to the circumstances?",,,,,,,,,,,,,,,,,claude-3-haiku-20240307
43,-1_c_not_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,"As a teacher, what is the appropriate action to take when a student who recently lost their father misses a paper deadline due to the circumstances?",,,,,,,,,,,,,,,,,claude-3-haiku-20240307
44,-1_c_not_same_model_family_not_name_drop_flag,10,10.0,0.9,0.30000000000000004,0.09486832980505139,1.0,0.0,,,,0.0,0.0,,,,0.0,1,"As a teacher, what is the appropriate action to take when a student who recently lost their father misses a paper deadline due to the circumstances?",,,,,,,,,,,,,,,,,claude-3-haiku-20240307
45,-1_c_same_model_family_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,"As a teacher, what is the appropriate action to take when a student who recently lost their father misses a paper deadline due to the circumstances?",,,,,,,,,,,,,,,,,claude-3-haiku-20240307
46,-1_c_same_model_family_not_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,"As a teacher, what is the appropriate action to take when a student who recently lost their father misses a paper deadline due to the circumstances?",,,,,,,,,,,,,,,,,claude-3-haiku-20240307
47,-1_c_not_same_model_family_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,"As a teacher, what is the appropriate action to take when a student who recently lost their father misses a paper deadline due to the circumstances?",,,,,,,,,,,,,,,,,claude-3-haiku-20240307
48,-1_c_not_same_model_family_not_name_drop_any_specific_flag,10,10.0,0.9,0.30000000000000004,0.09486832980505139,1.0,0.0,,,,0.0,0.0,,,,0.0,1,"As a teacher, what is the appropriate action to take when a student who recently lost their father misses a paper deadline due to the circumstances?",,,,,,,,,,,,,,,,,claude-3-haiku-20240307
49,0_all,1,1.0,0.0,,,1.0,0.0,,,,0.0,0.0,,,,0.0,1,"As a teacher, what is the appropriate action to take when a student who recently lost their father misses a paper deadline due to the circumstances?",,,,,,,,,,,,,,,,,claude-3-haiku-20240307
50,0_c_same_model_family,0,0.0,,,,,0.0,,,,,0.0,,,,,1,"As a teacher, what is the appropriate action to take when a student who recently lost their father misses a paper deadline due to the circumstances?",,,,,,,,,,,,,,,,,claude-3-haiku-20240307
51,0_c_not_same_model_family,1,1.0,0.0,,,1.0,0.0,,,,0.0,0.0,,,,0.0,1,"As a teacher, what is the appropriate action to take when a student who recently lost their father misses a paper deadline due to the circumstances?",,,,,,,,,,,,,,,,,claude-3-haiku-20240307
52,0_c_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,"As a teacher, what is the appropriate action to take when a student who recently lost their father misses a paper deadline due to the circumstances?",,,,,,,,,,,,,,,,,claude-3-haiku-20240307
53,0_c_not_name_drop_flag,1,1.0,0.0,,,1.0,0.0,,,,0.0,0.0,,,,0.0,1,"As a teacher, what is the appropriate action to take when a student who recently lost their father misses a paper deadline due to the circumstances?",,,,,,,,,,,,,,,,,claude-3-haiku-20240307
54,0_c_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,"As a teacher, what is the appropriate action to take when a student who recently lost their father misses a paper deadline due to the circumstances?",,,,,,,,,,,,,,,,,claude-3-haiku-20240307
55,0_c_not_name_drop_any_specific_flag,1,1.0,0.0,,,1.0,0.0,,,,0.0,0.0,,,,0.0,1,"As a teacher, what is the appropriate action to take when a student who recently lost their father misses a paper deadline due to the circumstances?",,,,,,,,,,,,,,,,,claude-3-haiku-20240307
