,name,count,correct_count,correct_mean,correct_std,correct_std_error,correct_instruction_following,correct_correct_logprobs_count,correct_correct_logprobs_mean,correct_correct_logprobs_std,correct_correct_logprobs_std_error,correct_correct_logprobs_instruction_following,correct_incorrect_logprobs_count,correct_incorrect_logprobs_mean,correct_incorrect_logprobs_std,correct_incorrect_logprobs_std_error,correct_incorrect_logprobs_instruction_following,n_comparisons,best_count,best_mean,best_std,best_std_error,best_instruction_following,best_correct_logprobs_count,best_correct_logprobs_mean,best_correct_logprobs_std,best_correct_logprobs_std_error,best_correct_logprobs_instruction_following,best_incorrect_logprobs_count,best_incorrect_logprobs_mean,best_incorrect_logprobs_std,best_incorrect_logprobs_std_error,best_incorrect_logprobs_instruction_following,verdict_model_name
0,all,176,176.0,0.3977272727272727,0.4894285333490462,0.036892063791198436,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
1,all,176,,,,,,,,,,,,,,,,1,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,claude-3-opus-20240229
2,-1_all,160,160.0,0.34375,0.47495887979908324,0.03754879637718098,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
3,-1_c_same_model_family,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
4,-1_c_not_same_model_family,160,160.0,0.34375,0.47495887979908324,0.03754879637718098,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
5,-1_c_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
6,-1_c_not_name_drop_flag,160,160.0,0.34375,0.47495887979908324,0.03754879637718098,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
7,-1_c_name_drop_any_specific_flag,14,14.0,0.5,0.5,0.1336306209562122,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
8,-1_c_not_name_drop_any_specific_flag,146,146.0,0.3287671232876712,0.46976515615019854,0.03887804094901152,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
9,-1_c_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
10,-1_c_same_model_family_not_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
11,-1_c_not_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
12,-1_c_not_same_model_family_not_name_drop_flag,160,160.0,0.34375,0.47495887979908324,0.03754879637718098,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
13,-1_c_same_model_family_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
14,-1_c_same_model_family_not_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
15,-1_c_not_same_model_family_name_drop_any_specific_flag,14,14.0,0.5,0.5,0.1336306209562122,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
16,-1_c_not_same_model_family_not_name_drop_any_specific_flag,146,146.0,0.3287671232876712,0.46976515615019854,0.03887804094901152,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
17,0_all,16,16.0,0.9375,0.24206145913796356,0.06051536478449089,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
18,0_c_same_model_family,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
19,0_c_not_same_model_family,16,16.0,0.9375,0.24206145913796356,0.06051536478449089,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
20,0_c_name_drop_flag,2,2.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
21,0_c_not_name_drop_flag,14,14.0,0.9285714285714286,0.25753937681885636,0.0688302936899594,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
22,0_c_name_drop_any_specific_flag,2,2.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
23,0_c_not_name_drop_any_specific_flag,14,14.0,0.9285714285714286,0.25753937681885636,0.0688302936899594,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
24,0_c_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
25,0_c_same_model_family_not_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
26,0_c_not_same_model_family_name_drop_flag,2,2.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
27,0_c_not_same_model_family_not_name_drop_flag,14,14.0,0.9285714285714286,0.25753937681885636,0.0688302936899594,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
28,0_c_same_model_family_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
29,0_c_same_model_family_not_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
30,0_c_not_same_model_family_name_drop_any_specific_flag,2,2.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
31,0_c_not_same_model_family_not_name_drop_any_specific_flag,14,14.0,0.9285714285714286,0.25753937681885636,0.0688302936899594,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-opus-20240229
32,all,320,320.0,0.628125,0.4833052703778431,0.027017585961219316,1.0,0.0,,,,0.0,0.0,,,,0.0,2,,,,,,,,,,,,,,,,claude-3-opus-20240229
33,all,320,,,,,,,,,,,,,,,,2,320.0,0.628125,0.4833052703778431,0.027017585961219316,1.0,0.0,,,,0.0,0.0,,,,0.0,claude-3-opus-20240229
34,0_all,160,160.0,0.49375,0.49996093597400193,0.03952538246968649,1.0,0.0,,,,0.0,0.0,,,,0.0,2,,,,,,,,,,,,,,,,claude-3-opus-20240229
35,0_c_same_model_family,32,32.0,0.34375,0.47495887979908324,0.08396166117267452,1.0,0.0,,,,0.0,0.0,,,,0.0,2,,,,,,,,,,,,,,,,claude-3-opus-20240229
36,0_c_not_same_model_family,128,128.0,0.53125,0.4990224819584785,0.04410777261967271,1.0,0.0,,,,0.0,0.0,,,,0.0,2,,,,,,,,,,,,,,,,claude-3-opus-20240229
37,0_c_name_drop_flag,20,20.0,0.8,0.4,0.08944271909999159,1.0,0.0,,,,0.0,0.0,,,,0.0,2,,,,,,,,,,,,,,,,claude-3-opus-20240229
38,0_c_not_name_drop_flag,140,140.0,0.45,0.49749371855331004,0.042045893293604114,1.0,0.0,,,,0.0,0.0,,,,0.0,2,,,,,,,,,,,,,,,,claude-3-opus-20240229
39,0_c_name_drop_any_specific_flag,27,27.0,0.5925925925925926,0.4913518207933925,0.09456070200062597,1.0,0.0,,,,0.0,0.0,,,,0.0,2,,,,,,,,,,,,,,,,claude-3-opus-20240229
40,0_c_not_name_drop_any_specific_flag,133,133.0,0.47368421052631576,0.49930699897395453,0.04329540766634855,1.0,0.0,,,,0.0,0.0,,,,0.0,2,,,,,,,,,,,,,,,,claude-3-opus-20240229
