,name,count,correct_count,correct_mean,correct_std,correct_std_error,correct_instruction_following,correct_correct_logprobs_count,correct_correct_logprobs_mean,correct_correct_logprobs_std,correct_correct_logprobs_std_error,correct_correct_logprobs_instruction_following,correct_incorrect_logprobs_count,correct_incorrect_logprobs_mean,correct_incorrect_logprobs_std,correct_incorrect_logprobs_std_error,correct_incorrect_logprobs_instruction_following,n_comparisons,best_count,best_mean,best_std,best_std_error,best_instruction_following,best_correct_logprobs_count,best_correct_logprobs_mean,best_correct_logprobs_std,best_correct_logprobs_std_error,best_correct_logprobs_instruction_following,best_incorrect_logprobs_count,best_incorrect_logprobs_mean,best_incorrect_logprobs_std,best_incorrect_logprobs_std_error,best_incorrect_logprobs_instruction_following,verdict_model_name
0,all,176,176.0,0.8920454545454546,0.3103229955550313,0.023391475910799212,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-sonnet-20240229
1,all,176,,,,,,,,,,,,,,,,1,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,claude-3-sonnet-20240229
2,-1_all,160,160.0,0.975,0.15612494995995996,0.012342761036332186,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-sonnet-20240229
3,-1_c_same_model_family,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-sonnet-20240229
4,-1_c_not_same_model_family,160,160.0,0.975,0.15612494995995996,0.012342761036332186,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-sonnet-20240229
5,-1_c_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-sonnet-20240229
6,-1_c_not_name_drop_flag,160,160.0,0.975,0.15612494995995996,0.012342761036332186,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-sonnet-20240229
7,-1_c_name_drop_any_specific_flag,15,15.0,0.9333333333333333,0.24944382578492946,0.06440611887195306,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-sonnet-20240229
8,-1_c_not_name_drop_any_specific_flag,145,145.0,0.9793103448275862,0.14234322372793307,0.011820961318414466,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,claude-3-sonnet-20240229
9,-1_c_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-sonnet-20240229
10,-1_c_same_model_family_not_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,claude-3-sonnet-20240229
