,name,count,correct_count,correct_mean,correct_std,correct_std_error,correct_instruction_following,correct_correct_logprobs_count,correct_correct_logprobs_mean,correct_correct_logprobs_std,correct_correct_logprobs_std_error,correct_correct_logprobs_instruction_following,correct_incorrect_logprobs_count,correct_incorrect_logprobs_mean,correct_incorrect_logprobs_std,correct_incorrect_logprobs_std_error,correct_incorrect_logprobs_instruction_following,n_comparisons,best_count,best_mean,best_std,best_std_error,best_instruction_following,best_correct_logprobs_count,best_correct_logprobs_mean,best_correct_logprobs_std,best_correct_logprobs_std_error,best_correct_logprobs_instruction_following,best_incorrect_logprobs_count,best_incorrect_logprobs_mean,best_incorrect_logprobs_std,best_incorrect_logprobs_std_error,best_incorrect_logprobs_instruction_following,verdict_model_name
0,all,176,176.0,0.4659090909090909,0.49883645608290833,0.03760121264949105,1.0,81.0,-0.25312376600802466,0.6320983229872795,0.07023314699858661,0.4602272727272727,92.0,-0.21908843012391302,0.45883904665292713,0.04783727747967095,0.5227272727272727,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
1,all,176,,,,,,,,,,,,,,,,1,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,meta-llama/Llama-3-8b-chat-hf
2,-1_all,160,160.0,0.4625,0.49859176687947826,0.03941714014867136,1.0,73.0,-0.2628621662143836,0.6592283416888509,0.07715684137546586,0.45625,84.0,-0.23393985217142854,0.47684758795700133,0.05202833730404932,0.525,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
3,-1_c_same_model_family,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
4,-1_c_not_same_model_family,160,160.0,0.4625,0.49859176687947826,0.03941714014867136,1.0,73.0,-0.2628621662143836,0.6592283416888509,0.07715684137546586,0.45625,84.0,-0.23393985217142854,0.47684758795700133,0.05202833730404932,0.525,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
5,-1_c_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
6,-1_c_not_name_drop_flag,160,160.0,0.4625,0.49859176687947826,0.03941714014867136,1.0,73.0,-0.2628621662143836,0.6592283416888509,0.07715684137546586,0.45625,84.0,-0.23393985217142854,0.47684758795700133,0.05202833730404932,0.525,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
7,-1_c_name_drop_any_specific_flag,22,22.0,0.09090909090909091,0.2874797872880344,0.061290896587567444,1.0,2.0,-2.7578125,1.5859375,1.1214271607880402,0.09090909090909091,20.0,-0.094149780175,0.09799135221853922,0.02191153247677785,0.9090909090909091,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
8,-1_c_not_name_drop_any_specific_flag,138,138.0,0.5217391304347826,0.49952718665548074,0.04252257799320224,1.0,71.0,-0.19258187512183098,0.44236631557605194,0.05249922295284523,0.5144927536231884,64.0,-0.27762424967031246,0.5361206133475961,0.06701507666844951,0.463768115942029,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
9,-1_c_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
10,-1_c_same_model_family_not_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
11,-1_c_not_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
12,-1_c_not_same_model_family_not_name_drop_flag,160,160.0,0.4625,0.49859176687947826,0.03941714014867136,1.0,73.0,-0.2628621662143836,0.6592283416888509,0.07715684137546586,0.45625,84.0,-0.23393985217142854,0.47684758795700133,0.05202833730404932,0.525,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
13,-1_c_same_model_family_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
14,-1_c_same_model_family_not_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
15,-1_c_not_same_model_family_name_drop_any_specific_flag,22,22.0,0.09090909090909091,0.2874797872880344,0.061290896587567444,1.0,2.0,-2.7578125,1.5859375,1.1214271607880402,0.09090909090909091,20.0,-0.094149780175,0.09799135221853922,0.02191153247677785,0.9090909090909091,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
16,-1_c_not_same_model_family_not_name_drop_any_specific_flag,138,138.0,0.5217391304347826,0.49952718665548074,0.04252257799320224,1.0,71.0,-0.19258187512183098,0.44236631557605194,0.05249922295284523,0.5144927536231884,64.0,-0.27762424967031246,0.5361206133475961,0.06701507666844951,0.463768115942029,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
17,0_all,16,16.0,0.5,0.5,0.125,1.0,8.0,-0.164260864125,0.2666526363218634,0.09427594368222995,0.5,8.0,-0.063148498625,0.08349484407302861,0.029519885219075972,0.5,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
18,0_c_same_model_family,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
19,0_c_not_same_model_family,16,16.0,0.5,0.5,0.125,1.0,8.0,-0.164260864125,0.2666526363218634,0.09427594368222995,0.5,8.0,-0.063148498625,0.08349484407302861,0.029519885219075972,0.5,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
20,0_c_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
21,0_c_not_name_drop_flag,16,16.0,0.5,0.5,0.125,1.0,8.0,-0.164260864125,0.2666526363218634,0.09427594368222995,0.5,8.0,-0.063148498625,0.08349484407302861,0.029519885219075972,0.5,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
22,0_c_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
23,0_c_not_name_drop_any_specific_flag,16,16.0,0.5,0.5,0.125,1.0,8.0,-0.164260864125,0.2666526363218634,0.09427594368222995,0.5,8.0,-0.063148498625,0.08349484407302861,0.029519885219075972,0.5,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
24,0_c_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
25,0_c_same_model_family_not_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
26,0_c_not_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
27,0_c_not_same_model_family_not_name_drop_flag,16,16.0,0.5,0.5,0.125,1.0,8.0,-0.164260864125,0.2666526363218634,0.09427594368222995,0.5,8.0,-0.063148498625,0.08349484407302861,0.029519885219075972,0.5,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
28,0_c_same_model_family_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
29,0_c_same_model_family_not_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
30,0_c_not_same_model_family_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
31,0_c_not_same_model_family_not_name_drop_any_specific_flag,16,16.0,0.5,0.5,0.125,1.0,8.0,-0.164260864125,0.2666526363218634,0.09427594368222995,0.5,8.0,-0.063148498625,0.08349484407302861,0.029519885219075972,0.5,1,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
32,all,320,320.0,0.571875,0.4948070173057371,0.027660553160988574,1.0,183.0,-0.06413352173625252,0.32071731725818076,0.023708106288073332,0.571875,137.0,-0.059936232711959414,0.3697342904483374,0.03158853223650101,0.428125,2,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
33,all,320,,,,,,,,,,,,,,,,2,320.0,0.559375,0.49646209258613083,0.02775307468185957,1.0,179.0,-0.08324318565511654,0.4313113247102596,0.03223772199897732,0.559375,141.0,-0.03579551863125383,0.17002758976931429,0.014318906135853803,0.440625,meta-llama/Llama-3-8b-chat-hf
34,0_all,160,160.0,0.91875,0.27321866242992987,0.02159983181358132,1.0,147.0,-0.006941073691445918,0.04567062241475268,0.0037668494493164595,0.91875,13.0,-0.1089691930783523,0.20107089655294694,0.05576703288655121,0.08125,2,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
35,0_c_same_model_family,16,16.0,0.9375,0.24206145913796356,0.06051536478449089,1.0,15.0,-0.000333460168652,0.0008459568599557217,0.000218425122014562,0.9375,1.0,0.0,,,0.0625,2,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
36,0_c_not_same_model_family,144,144.0,0.9166666666666666,0.2763853991962833,0.023032116599690275,1.0,132.0,-0.007691938864490682,0.04813753820235517,0.004189834906871922,0.9166666666666666,12.0,-0.118049959168215,0.20670424966087492,0.05967037709217288,0.08333333333333333,2,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
37,0_c_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,2,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
38,0_c_not_name_drop_flag,160,160.0,0.91875,0.27321866242992987,0.02159983181358132,1.0,147.0,-0.006941073691445918,0.04567062241475268,0.0037668494493164595,0.91875,13.0,-0.1089691930783523,0.20107089655294694,0.05576703288655121,0.08125,2,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
39,0_c_name_drop_any_specific_flag,22,22.0,0.6818181818181818,0.46577048936179993,0.09930260198923897,1.0,15.0,-0.02686890033043533,0.06836731136363786,0.017652363889089764,0.6818181818181818,7.0,-0.011714951972755712,0.027523165092767907,0.01040277858983398,0.3181818181818182,2,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
40,0_c_not_name_drop_any_specific_flag,138,138.0,0.9565217391304348,0.20393111999232305,0.017359769771841102,1.0,132.0,-0.004676547937015303,0.041730414231298744,0.00363216634572239,0.9565217391304348,6.0,-0.222432474368215,0.25060882177650773,0.10231062306542221,0.043478260869565216,2,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
41,0_c_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,2,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
42,0_c_same_model_family_not_name_drop_flag,16,16.0,0.9375,0.24206145913796356,0.06051536478449089,1.0,15.0,-0.000333460168652,0.0008459568599557217,0.000218425122014562,0.9375,1.0,0.0,,,0.0625,2,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
43,0_c_not_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,2,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
44,0_c_not_same_model_family_not_name_drop_flag,144,144.0,0.9166666666666666,0.2763853991962833,0.023032116599690275,1.0,132.0,-0.007691938864490682,0.04813753820235517,0.004189834906871922,0.9166666666666666,12.0,-0.118049959168215,0.20670424966087492,0.05967037709217288,0.08333333333333333,2,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
45,0_c_same_model_family_name_drop_any_specific_flag,3,3.0,0.6666666666666666,0.4714045207910317,0.2721655269759087,1.0,2.0,-2.4497509e-05,2.0802021e-05,1.4709250111484965e-05,0.6666666666666666,1.0,0.0,,,0.3333333333333333,2,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
46,0_c_same_model_family_not_name_drop_any_specific_flag,13,13.0,1.0,0.0,0.0,1.0,13.0,-0.0003809928855215385,0.0008992942603067795,0.0002494193513281964,1.0,0.0,,,,0.0,2,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
47,0_c_not_same_model_family_name_drop_any_specific_flag,19,19.0,0.6842105263157895,0.464829519280413,0.10663920529041637,1.0,13.0,-0.03099880845681,0.0725621030145065,0.02012510639033102,0.6842105263157895,6.0,-0.013667443968214997,0.02927615317224451,0.011951939483927022,0.3157894736842105,2,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
48,0_c_not_same_model_family_not_name_drop_any_specific_flag,125,125.0,0.952,0.21376622745419815,0.019119832635250755,1.0,119.0,-0.005145810253565041,0.04392428883806344,0.004026532956088579,0.952,6.0,-0.222432474368215,0.25060882177650773,0.10231062306542221,0.048,2,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
49,1_all,160,160.0,0.225,0.41758232721225164,0.03301278161561064,1.0,36.0,-0.2976693512525461,0.6681744618449628,0.11136241030749379,0.225,124.0,-0.054795680415482745,0.38277695778781023,0.03437438555618486,0.775,2,,,,,,,,,,,,,,,,meta-llama/Llama-3-8b-chat-hf
