,name,count,correct_count,correct_mean,correct_std,correct_std_error,correct_instruction_following,correct_correct_logprobs_count,correct_correct_logprobs_mean,correct_correct_logprobs_std,correct_correct_logprobs_std_error,correct_correct_logprobs_instruction_following,correct_incorrect_logprobs_count,correct_incorrect_logprobs_mean,correct_incorrect_logprobs_std,correct_incorrect_logprobs_std_error,correct_incorrect_logprobs_instruction_following,n_comparisons,best_count,best_mean,best_std,best_std_error,best_instruction_following,best_correct_logprobs_count,best_correct_logprobs_mean,best_correct_logprobs_std,best_correct_logprobs_std_error,best_correct_logprobs_instruction_following,best_incorrect_logprobs_count,best_incorrect_logprobs_mean,best_incorrect_logprobs_std,best_incorrect_logprobs_std_error,best_incorrect_logprobs_instruction_following,verdict_model_name
0,all,176,176.0,0.20454545454545456,0.4033690761204284,0.030405088125540162,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
1,all,176,,,,,,,,,,,,,,,,1,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,mistralai/Mixtral-8x22B-Instruct-v0.1
2,-1_all,160,160.0,0.13125,0.33767356648100244,0.0266954393928064,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
3,-1_c_same_model_family,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
4,-1_c_not_same_model_family,160,160.0,0.13125,0.33767356648100244,0.0266954393928064,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
5,-1_c_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
6,-1_c_not_name_drop_flag,160,160.0,0.13125,0.33767356648100244,0.0266954393928064,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
7,-1_c_name_drop_any_specific_flag,18,18.0,0.3333333333333333,0.4714045207910317,0.11111111111111112,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
8,-1_c_not_name_drop_any_specific_flag,142,142.0,0.1056338028169014,0.3073683498985239,0.02579377893652553,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
9,-1_c_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
10,-1_c_same_model_family_not_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
11,-1_c_not_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
12,-1_c_not_same_model_family_not_name_drop_flag,160,160.0,0.13125,0.33767356648100244,0.0266954393928064,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
13,-1_c_same_model_family_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
14,-1_c_same_model_family_not_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
15,-1_c_not_same_model_family_name_drop_any_specific_flag,18,18.0,0.3333333333333333,0.4714045207910317,0.11111111111111112,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
16,-1_c_not_same_model_family_not_name_drop_any_specific_flag,142,142.0,0.1056338028169014,0.3073683498985239,0.02579377893652553,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
17,0_all,16,16.0,0.9375,0.24206145913796356,0.06051536478449089,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
18,0_c_same_model_family,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
19,0_c_not_same_model_family,16,16.0,0.9375,0.24206145913796356,0.06051536478449089,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
20,0_c_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
21,0_c_not_name_drop_flag,16,16.0,0.9375,0.24206145913796356,0.06051536478449089,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
22,0_c_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
23,0_c_not_name_drop_any_specific_flag,16,16.0,0.9375,0.24206145913796356,0.06051536478449089,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
24,0_c_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
25,0_c_same_model_family_not_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
26,0_c_not_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
27,0_c_not_same_model_family_not_name_drop_flag,16,16.0,0.9375,0.24206145913796356,0.06051536478449089,1.0,0.0,,,,0.0,0.0,,,,0.0,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
28,0_c_same_model_family_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
