[2024-06-09 05:48:52,752][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 05:49:01,236][retry.api][WARNING] - 'choices', retrying in 16 seconds...
[2024-06-09 05:49:53,461][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 05:50:01,930][retry.api][WARNING] - 'choices', retrying in 16 seconds...
[2024-06-09 05:50:21,476][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 05:50:58,414][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 05:51:06,899][retry.api][WARNING] - 'choices', retrying in 16 seconds...
[2024-06-09 05:51:27,019][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 05:56:21,846][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 05:56:30,319][retry.api][WARNING] - 'choices', retrying in 16 seconds...
[2024-06-09 05:57:31,422][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 05:57:39,908][retry.api][WARNING] - 'choices', retrying in 16 seconds...
[2024-06-09 05:58:04,118][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 05:59:37,369][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 05:59:48,763][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 06:00:17,392][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 06:00:41,452][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 06:00:54,121][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 06:03:00,349][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 06:03:17,969][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 06:03:27,370][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 06:03:57,011][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 06:04:06,507][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 06:04:34,893][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 06:05:07,859][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 06:05:18,711][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 06:05:27,190][retry.api][WARNING] - 'choices', retrying in 16 seconds...
[2024-06-09 06:06:29,106][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 06:06:37,592][retry.api][WARNING] - 'choices', retrying in 16 seconds...
[2024-06-09 06:07:17,406][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 06:07:35,522][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 06:07:43,989][retry.api][WARNING] - 'choices', retrying in 16 seconds...
[2024-06-09 06:08:20,546][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 06:08:36,141][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 06:08:44,640][retry.api][WARNING] - 'choices', retrying in 16 seconds...
[2024-06-09 06:09:02,777][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 06:09:43,319][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 06:09:51,809][retry.api][WARNING] - 'choices', retrying in 16 seconds...
[2024-06-09 06:10:09,638][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 06:11:18,246][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 06:22:36,888][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 06:27:42,855][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 06:32:28,311][retry.api][WARNING] - 'choices', retrying in 8 seconds...
[2024-06-09 06:32:38,806][retry.api][WARNING] - 'choices', retrying in 8 seconds...
